Node Population Gap_0 Gap_200 Gap_400 Gap_600 Gap_800 Gap_1000 Gap_1200 Gap_1400 Gap_1600 Gap_1800 Gap_2000 Gap_2200 Gap_2400 Gap_2600 Gap_2800 Gap_3000 Gap_3200 Gap_3400 Gap_3600 Gap_3800 Gap_4000 Gap_4200 Gap_4400 Gap_4600 Gap_4800 Gap_5000
-56.5301595--33.3806895 16 1 1 1 1 2 4 5 6 9 9 9 10 11 12 13 13 13 14 14 14 14 14 14 14 14 14
-56.5278986--33.3764394 37 1 1 1 1 4 5 7 7 8 9 11 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5284318--33.377258 39 1 1 1 2 3 5 6 8 8 9 11 12 13 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5289514--33.3780587 48 1 1 1 2 3 4 6 8 8 8 10 12 13 13 13 13 13 13 14 14 14 14 14 14 14 14
-56.5294747--33.378866 35 1 1 1 2 3 3 6 7 8 9 10 11 12 13 13 13 13 13 14 14 14 14 14 14 14 14
-56.5307404--33.3789243 29 1 1 1 1 2 4 5 6 8 9 9 11 11 12 13 13 13 13 14 14 14 14 14 14 14 14
-56.5288679--33.3759965 91 1 1 1 2 3 5 6 7 8 10 10 12 13 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5284318--33.377258 75 1 1 1 2 3 5 6 8 8 9 11 12 13 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5299029--33.3776287 40 1 1 1 2 3 4 5 7 8 8 11 11 12 13 13 13 13 13 14 14 14 14 14 14 14 14
-56.5309882--33.3774427 36 1 1 1 1 3 4 4 6 8 8 10 11 12 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5298279--33.3755745 77 1 1 1 3 3 4 5 7 8 9 10 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5303505--33.3763911 55 1 1 1 2 3 4 5 6 8 9 10 11 12 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5313037--33.3759381 100 1 1 1 2 3 4 4 5 8 9 9 11 12 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5307895--33.3751305 26 1 1 1 3 3 3 5 6 8 9 10 10 12 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5307895--33.3751305 41 1 1 1 3 3 3 5 6 8 9 10 10 12 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5283789--33.3857638 78 1 1 1 1 1 3 5 5 5 8 9 10 10 11 13 14 14 14 14 14 14 14 14 14 14 14
-56.5261582--33.3835156 31 1 1 1 2 2 3 5 6 6 9 10 10 11 12 12 14 14 14 14 14 14 14 14 14 14 14
-56.5261582--33.3835156 19 1 1 1 2 2 3 5 6 6 9 10 10 11 12 12 14 14 14 14 14 14 14 14 14 14 14
-56.5278447--33.3848375 58 1 1 1 1 2 3 5 5 6 8 9 10 11 11 13 14 14 14 14 14 14 14 14 14 14 14
-56.526658--33.3843303 64 1 1 1 1 2 3 4 5 6 7 10 10 11 12 12 14 14 14 14 14 14 14 14 14 14 14
-56.527169--33.3851362 37 1 1 1 1 2 3 4 5 6 6 9 10 10 11 13 14 14 14 14 14 14 14 14 14 14 14
-56.527699--33.3869882 51 1 1 1 1 2 3 3 5 5 5 8 9 10 11 12 13 14 14 14 14 14 14 14 14 14 14
-56.5291395--33.3803475 22 1 1 1 1 3 4 5 7 9 9 10 10 12 13 13 13 13 14 14 14 14 14 14 14 14 14
-56.5276425--33.3817741 13 1 1 1 1 2 4 4 6 9 10 10 11 12 13 13 13 14 14 14 14 14 14 14 14 14 14
-56.5280323--33.3805647 60 1 1 1 1 3 4 5 8 9 10 10 11 13 13 13 13 13 14 14 14 14 14 14 14 14 14
-56.5265716--33.3801703 148 1 1 1 2 3 3 6 8 9 10 11 12 13 13 13 13 13 14 14 14 14 14 14 14 14 14
