Node Population Gap_0 Gap_200 Gap_400 Gap_600 Gap_800 Gap_1000 Gap_1200 Gap_1400 Gap_1600 Gap_1800 Gap_2000 Gap_2200 Gap_2400 Gap_2600 Gap_2800 Gap_3000 Gap_3200 Gap_3400 Gap_3600 Gap_3800 Gap_4000 Gap_4200 Gap_4400 Gap_4600 Gap_4800 Gap_5000
-55.5577343--30.8915574 67 1 1 1 1 1 1 1 1 2 3 6 7 9 10 12 12 12 12 12 12 12 13 13 13 13 13
-55.5568507--30.8920363 76 1 1 1 1 1 1 1 2 2 4 6 7 9 11 12 12 12 12 12 12 13 13 13 13 13 13
-55.5550286--30.8929903 37 1 1 1 1 1 1 2 2 4 6 7 9 11 12 12 12 12 12 12 13 13 13 13 13 13 13
-55.5559269--30.8925375 58 1 1 1 1 1 1 1 2 3 6 7 9 10 12 12 12 12 12 12 12 13 13 13 13 13 13
-55.5602742--30.8902121 90 1 1 1 1 1 1 1 1 1 2 3 4 6 8 9 11 12 12 12 12 12 12 13 13 13 13
-55.5592946--30.8885449 99 1 1 1 1 1 1 1 1 1 1 2 4 7 7 8 10 11 12 12 12 12 12 12 13 13 13
-55.5580837--30.8902909 58 1 1 1 1 1 1 1 1 1 3 5 7 7 10 10 12 12 12 12 12 12 12 13 13 13 13
-55.5571739--30.8907738 60 1 1 1 1 1 1 1 1 2 3 5 7 7 10 11 12 12 12 12 12 12 13 13 13 13 13
-55.5575047--30.8894965 85 1 1 1 1 1 1 1 1 1 2 4 7 7 8 10 11 12 12 12 12 12 12 13 13 13 13
-55.5571739--30.8907738 87 1 1 1 1 1 1 1 1 2 3 5 7 7 10 11 12 12 12 12 12 12 13 13 13 13 13
-55.5566182--30.8899969 93 1 1 1 1 1 1 1 1 1 4 6 7 8 10 10 12 12 12 12 12 12 12 13 13 13 13
-55.555358--30.8917376 0 1 1 1 1 1 1 1 2 3 5 7 7 10 11 12 12 12 12 12 12 13 13 13 13 13 13
-55.5547949--30.890946 43 1 1 1 1 1 1 1 1 4 6 7 8 10 10 12 12 12 12 12 12 12 13 13 13 13 13
-55.5562469--30.8912658 58 1 1 1 1 1 1 1 1 3 5 7 7 10 10 12 12 12 12 12 12 12 13 13 13 13 13
-55.5547949--30.890946 73 1 1 1 1 1 1 1 1 4 6 7 8 10 10 12 12 12 12 12 12 12 13 13 13 13 13
-55.5606878--30.8904613 30 1 1 1 1 1 1 1 1 1 2 2 2 4 6 8 11 12 12 12 12 12 12 13 13 13 13
-55.5564616--30.8932893 72 1 1 1 1 1 1 2 2 2 4 6 8 10 12 12 12 12 12 12 13 13 13 13 13 13 13
-55.5587139--30.8964236 21 1 1 1 1 1 1 1 2 2 2 3 7 9 10 11 12 12 13 13 13 13 13 13 13 13 13
-55.5570528--30.8940884 77 1 1 1 1 1 1 2 2 2 3 7 8 11 12 12 12 12 12 12 13 13 13 13 13 13 13
-55.5600833--30.8913414 26 1 1 1 1 1 1 1 1 2 2 2 4 6 8 10 12 12 12 12 12 12 13 13 13 13 13
-55.5600792--30.892503 0 1 1 1 1 1 1 1 2 2 2 2 4 7 8 11 12 12 12 12 12 13 13 13 13 13 13
-55.5591976--30.8918567 95 1 1 1 1 1 1 1 1 2 2 3 6 8 9 12 12 12 12 12 12 12 13 13 13 13 13
-55.5601295--30.8937156 81 1 1 1 1 1 1 1 2 2 2 2 4 7 10 11 12 12 12 12 12 13 13 13 13 13 13
